id,csa2010,mortgage,rent,completion,dropout,income,market,sold,naics,sectors,arts,under50,tested06,homes,grade5,grade8,grade12,jobs,part1,absent5,absent8,absent12,birthweight,term,prenatal,business1,business2,business4,lead06,commercial5k,travel14,travel29,travel44,travel45,outsidecity,weatherized,earning40k,earking60k,earning75k,earning25k,earning75kplus,black,hispanic,white,employed64,noinlabor64,unemployed64,nomail,math3,reading3,math5,reading5,math8,reading8,owner,work19,forclosure,properties5k,vacant,violations,algebra,stormdrain,alleys,teenpregnancy,artsbusiness,businesses,commercialproperties,employeesnaics,residential,unemployment,population,violentcrime
1,Allendale/Irvington/S. Hilton,49.42386831,57.35865343,80.34934498,3.759398496,33563.12,85,42500,11.28445458,183,0,255,386,118,1118,747,1064,1887,40.57470556,14.66905188,28.78179384,41.16541353,87.44588745,85.28138528,51.94805195,8.921933086,19.33085502,33.82899628,0,13.26164875,12.90630975,40.23263225,27.39005736,19.47100064,60.3,0.48,17.14,18.42,6.2,39.27,18.96,94.91953298,0.757336699,2.903124014,57.52554543,32.13661051,10.33784406,9.003751563,67.21311475,59.56284153,66.97247706,76.14678899,23.66071429,45.08928571,66,82.11009174,2.59,1.29,4,4.97,19.86754967,4.193130665,41.68465191,55.04587156,,269,279,1503,5568,15.23331525,"16,217",12.64105568
2,Beechfield/Ten Hills/West Hills,42.08664898,49.6369073,85.86956522,1.956947162,50780.92,102,142250,7.99086758,98,0.081539465,148,0,72,574,349,511,870,33.59425962,6.445993031,11.747851,29.94129159,91.66666667,87.5,64.28571429,3.896103896,22.07792208,32.46753247,0,25.53191489,13.5355713,43.5170927,27.19433323,15.75300277,62.5,0.51,18.2,21.82,10.4,21.6,27.97,95.39559014,0.648508431,2.140077821,72.2228255,21.73960256,6.03757194,2.290351668,76.69902913,69.90291262,79.78723404,88.29787234,29.16666667,56.66666667,82.7,76.66980245,2.11,1.94,0,2,24.6031746,3.424657534,10.518591,42.78074866,4,154,47,753,3557,7.714721798,"12,264",8.398564905
3,Belair-Edison,40.3721205,60.55936073,82.85714286,4.019688269,42920.83,94,56000,9.875976114,172,0.114836932,217,200,153,1162,831,1219,988,50.29857602,14.02753873,12.39470517,41.09926169,87.70491803,84.01639344,63.93442623,8.888888889,22.66666667,31.55555556,7.5,8.484848485,9.135698198,41.07545045,28.57545045,21.2134009,48.5,0.59,22.66,21.52,9.81,25.14,20.87,96.91591504,0.290951411,1.251091068,61.50326244,26.70112702,11.79561054,6.171548117,76.88679245,69.81132075,74.76190476,79.04761905,30.60498221,57.29537367,67.2,79.62441315,3.15,1.35,1,2.22,22.97297297,4.07671107,90.20440974,67.56756757,4,225,165,1044,6295,16.09248555,"17,416",13.26366559
4,Brooklyn/Curtis Bay/Hawkins Point,43.66715758,48.62108047,78.46153846,5.203252033,32888.5,108,58005,11.30379836,161,0.210629783,297,0,104,1011,525,615,8424,81.6541459,19.58456973,21.33333333,36.2601626,89.88764045,83.14606742,50.93632959,2.73556231,10.94224924,21.88449848,0,5.227272727,22.8115653,31.9441675,24.68594217,20.55832502,72.7,1.42,17.65,11.71,7.85,52.52,10.28,58.92241379,6.551724138,31.12068966,59.54592363,32.39307419,8.061002179,8.890799656,82.35294118,74.50980392,70.77922078,81.16883117,32.5,56.25,50.4,87.33459357,2.8,1.26,4,3.74,30.4964539,4.212595661,91.48353577,111.1111111,12,329,880,1227,4283,11.92333786,"14,243",25.34578389
5,Canton,35.62355658,40.6559878,75,4.081632653,74685.14,82,251000,26.41975309,214,0.12345679,307,96,230,90,32,49,2747,60.98765432,7.777777778,21.875,22.44897959,94.59459459,94.59459459,73.87387387,7.643312102,17.8343949,33.43949045,0,14.14634146,22.17809365,45.06688963,22.61705686,10.13795987,53.7,0,8.12,15.17,13.1,13.69,49.92,19.57671958,17.46031746,59.78835979,85.86424073,11.0916725,3.044086774,7.726502964,100,90,81.81818182,100,77.77777778,88.88888889,69.9,92.02898551,1.79,3.99,1,0.6,39.28571429,6.296296296,32.83950617,46.51162791,2,314,205,2029,4013,3.423848878,"8,100",8.271604938
6,Cedonia/Frankford,49.79647218,60.34901701,82.1192053,2.572782668,38969.08,98.5,103225,13.41427177,316,0.29715159,414,240,195,1284,729,1477,2269,43.72373392,10.51401869,9.053497942,35.47731889,84.36657682,83.82749326,56.60377358,9.389671362,22.30046948,36.15023474,0,7.792207792,12.03807391,39.15640164,28.23814856,20.56737589,53.1,0.44,23.96,20.81,10.83,27.28,17.13,91.32556248,0.948766603,3.469775007,68.98422398,23.42707489,7.588701129,4.819753086,65.66523605,55.79399142,67.88990826,72.93577982,31.89655172,52.15517241,79.2,91.26484976,2.88,1.91,0.67,1.6,22.7480916,2.504563399,22.49862037,48.91922639,15,426,231,2255,6294,9.910423453,"23,557",11.97096404
7,Cherry Hill,24.89082969,51.32679026,76.40449438,3.938356164,18602.22,141,69000,5.730309681,47,0,84,198,9,833,412,584,2288,59.98536942,14.28571429,16.99029126,44.17808219,88.81578947,80.92105263,57.23684211,3.409090909,5.681818182,14.77272727,0,29.67032967,23.21193506,30.58358929,27.16103554,19.04344011,57.1,15.69,18.24,10.09,6.74,59.29,5.64,97.60508309,0.048875855,0.488758553,46.07266085,37.52790745,16.3994317,3.128724672,69.64285714,68.45238095,64.28571429,67.53246753,33.9869281,54.90196078,54.7,85.50724638,2.02,0.4,3,2.94,23.15436242,1.219214826,11.70446233,57.63688761,,88,91,353,988,26.25081222,"8,202",22.55547427
8,Chinquapin Park/Belvedere,35.61064087,49.0797546,76.38888889,4.273504274,44659.56,103,117450,13.66683858,106,0.257864879,136,146,74,381,228,351,917,43.57916452,10.49868766,9.210526316,34.47293447,92.59259259,87.03703704,63.88888889,5.714285714,21.42857143,32.14285714,0,10.52631579,17.97343058,40.68767908,25.50143266,15.83745767,55.1,0.41,17.47,19.29,8.65,26.31,28.28,93.28140214,0.389483934,3.602726388,73.83676583,17.20061022,8.962623951,5.997286296,86.56716418,82.08955224,73.84615385,87.69230769,30.3030303,42.42424242,74,81.54897494,2.04,2.26,0.33,2.34,22.65625,5.028365137,26.30221764,50.63291139,19,140,57,880,2694,10.82450484,"7,756",12.63537906
9,Claremont/Armistead,46.06299213,50.12518778,80.32786885,3.206997085,33236.03,135,139000,9.23338598,76,0.364475762,162,240,16,538,267,343,4186,52.6060017,14.12639405,15.35580524,41.39941691,83.01886792,83.01886792,47.16981132,7.344632768,14.68926554,27.68361582,0,10.38251366,13.35243553,32.49283668,31.08882521,23.06590258,56.7,0.97,18.88,17.51,10.6,39.67,13.34,58.6802828,14.37549097,23.80204242,62.77834875,30.50702295,6.714628297,3.644929333,82.92682927,57.31707317,70.14925373,83.58208955,32.58426966,56.17977528,76.6,87.04156479,4.69,1.52,0,3.31,28.57142857,1.57939497,8.139958693,48.87218045,22,177,183,1124,725,9.662312053,"8,231",13.24261937
10,Clifton-Berea,44.68085106,67.60176018,77.69784173,4.591836735,26147.87,71,13250,13.36844237,132,0,173,0,87,879,523,784,1337,57.92991695,15.35836177,17.97323136,42.21938776,83.58208955,82.8358209,52.23880597,4.945054945,15.93406593,34.06593407,0,6.711409396,15.56141673,32.81838734,25.09419744,26.52599849,49.1,0.42,23.17,15.77,5.13,47.61,8.32,98.23807477,0.386764074,0.257842716,45.73414422,40.59079062,13.67506516,9.546676911,62.5,62.5,64.59627329,70.80745342,25.1572327,42.7672956,35.8,84.52950558,1.65,1.71,25,11.33,23.05555556,10.93781649,167.2068058,71.97943445,,182,149,709,4783,23.01842644,"9,874",23.29349808
11,Cross-Country/Cheswolde,43.34448161,39.12710567,76.92307692,2.419354839,56275.65,120.5,165000,10.58769372,138,0.383612091,207,408,53,194,108,124,486,15.42120608,8.762886598,1.851851852,26.61290323,95.11278195,93.23308271,60.15037594,3.349282297,22.00956938,40.66985646,0,20.83333333,20.77251691,38.53684585,24.88430046,15.80633677,59.6,0.27,15.16,19.04,13.5,19.11,33.19,74.43762781,4.703476483,4.90797546,77.25310308,16.45979493,6.287101997,1.743264659,86.36363636,90.90909091,66.66666667,76.19047619,58.33333333,72.22222222,84.4,95.62171629,0.86,2.81,0.14,0.41,34.04255319,1.074113856,3.299063986,0,12,209,24,563,2914,7.525839793,"13,034",1.764615621
12,Dickeyville/Franklintown,30.90909091,53.57598978,78.57142857,2.732240437,33707,218.5,245000,4.389173372,18,0,31,110,4,219,124,183,169,49.50012192,10.50228311,22.58064516,36.06557377,85.45454545,85.45454545,63.63636364,3.125,15.625,37.5,0,3.448275862,19.10569106,39.19860627,19.62833914,22.06736353,58.1,0,20.31,19.32,6.67,38.01,15.7,97.49552773,0.53667263,0.53667263,66.21572212,25.33820841,8.44606947,0.873138161,94.44444444,88.88888889,73.52941176,85.29411765,21.27659574,48.93617021,70.9,100,1.5,3.9,2,4.5,20.54794521,0.731528895,3.169958547,21.12676056,,32,29,135,333,11.31243879,"4,101",7.071445989
13,Dorchester/Ashburton,48.89867841,62.75862069,80.74534161,4.508196721,41474.06,120,68150,11.5391142,136,0.084846428,166,0,84,578,404,732,812,52.35024605,11.07266436,9.405940594,37.02185792,85.71428571,87.21804511,56.39097744,12.13872832,23.69942197,37.57225434,0,7.75862069,12.29477612,47.44402985,23.00373134,17.25746269,53.8,0.41,23.71,17.07,12.49,26.24,20.5,97.57281553,0.21574973,0.377562028,60.49834672,31.74303259,7.75862069,8.833264377,82.05128205,78.63247863,71.875,80.20833333,31.3559322,60.16949153,73.6,73.06397306,2.81,1.87,3.3,2.51,21.76656151,2.545392839,33.93857119,49.29577465,2,173,116,727,3421,11.36678201,"11,786",15.44204989
14,Downtown/Seton Hill,58.89570552,45.85218703,82.35294118,5,33873.68,111,210450,456.2345169,2210,5.780346821,2818,49,20,111,45,80,83582,424.4426094,8.108108108,22.22222222,40,80.35714286,87.5,69.64285714,7.336683417,19.1959799,35.94639866,0,23.33333333,34.34944238,41.04089219,13.23420074,11.37546468,40.9,0,15.68,16.78,6.84,47.14,13.55,92.96296296,1.111111111,2.222222222,55.36800785,40.82433759,3.807654563,4.80385987,60,60,62.5,79.16666667,23.52941176,52.94117647,43.3,100,5.07,0.9,8,7.16,32.35294118,8.876961189,31.17258464,65.2173913,134,2985,1260,58327,670,6.434494196,"6,446",97.85301404
